,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Crown,Crown,Crown,Fruit Size,Fruit Size,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Conspicuousness,Conspicuousness,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement
,black,blue,bluish,brown,brownish,chocolate,coral,crimson,darkgreen,green,greenish,grey,ivory,magenta,maroon,olive,orange,orangish,pink,pinkish,plum,purple,purplish,red,reddish,tan,violet,white,whitish,yellow,yellowish,black,blue,brown,green,grey,ivory,orange,pink,purple,red,white,yellow,both,canopy,understorey,large,small,ellipsoid,elongate,fusiform,globose,ovoid,pyramidal,rounded,conspicuous,cryptic,Maximum Stem Height in Meters,Maximum Stem Diameter in Centimeters,Maximum Leaf Number,Maximum Leaf Blade Length in Meters,Maximum Rachis Length in Meters,Maximum Petiole Length in Meters,Average Fruit Length in Centimeters,Minimum Fruit Length in Centimeters,Maximum Fruit Length in Centimeters,Average Fruit Width in Centimeters,Minimum Fruit Width in Centimeters,Maximum Fruit Width in Centimeters
SpecName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinokentia divaricata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,9.0,9.0,7.0,2.35,2.1,1.3,2.6,1.8,3.4,1.1,0.8,1.4
Aiphanes minima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,18.0,50.0,9.0,4.2,3.0,1.25,1.4,1.2,1.6,1.55,1.4,1.7
Archontophoenix alexandrae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,30.0,30.0,12.0,4.5,4.0,0.55,1.1,0.8,1.4,0.85,0.6,1.1
Archontophoenix maxima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,22.0,30.0,11.0,5.0,3.4,1.7,1.25,1.1,1.4,0.9,0.7,1.1
Archontophoenix myolensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,20.0,30.0,12.0,4.0,3.8,0.22,1.7,1.3,2.1,1.1,1.0,1.2
Archontophoenix purpurea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,25.0,45.0,15.0,6.0,4.0,2.1,2.3,2.0,2.6,2.0,1.8,2.2
Archontophoenix tuckeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,20.0,26.0,12.0,3.15,1.75,1.45,2.0,1.5,2.5,1.25,1.0,1.5
Areca catechu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,25.0,30.0,10.0,3.15,2.05,1.25,6.5,5.0,8.0,4.75,3.5,6.0
