Unnamed: 0,Species,Main Trait,SIM,Dataset,Sentence,Result,GT Sub Traits
0,Gardenia sokotensis,flower color,Jacc,PlantNet,Flowers white Provided by:.,Can infer correct Value,"['White flower', 'Yellow coloured flower']"
1,Lannea fruticosa,leaf apex,Bert,PlantNet,"Calyx-lobes ovate, 1 to 1.5 mm.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Rounded leaf apex']"
2,Xeroderris stuhlmannii,fruit,Jacc,PlantNet,"Pod 6-25 cm, thickened over the seeds, hairless, leathery, with a prominent winged rim.",Can infer correct Value,['Pod']
3,Strychnos spinosa,petiole,Bert,PlantNet,"Leaves elliptic, ovate to almost circular, 1.5-9 x 1.2-7.5 cm, light to dark green and glossy at the base, veins pale green and curving along the margin, apex tapering to rounded, sometimes notched, base tapering, rounded or slightly lobed, margin entire, inclined to be wavy, petiole 2-10 mm long.",Can infer correct Value,['Petiolated leaf']
4,Keetia venosa,vein,Bert,PlantNet,"Stipules triangular,abruptly tapering into a linear tip.",None of the above,['Pinnate venation with secondary veins connecting near the margin of the blade']
5,Rotula aquatica,plant type,Jacc,PlantNet,A stiff-branched shrub 3-6 ft. high.,Can infer correct Value,"['Shrub', 'Bush']"
6,Trema orientalis,petiole,Jacc,PlantNet,The leaf base is frequently unequal.,Can infer correct Entity,['Petiolated leaf']
7,Loeseneriella africana,leaf blade,Jacc,PlantNet,Leaf color: dark green.,None of the above,['elliptical blade']
8,Anogeissus leiocarpus,fruit,Jacc,PlantNet,"The fruit are winged samaras, and are dispersed by ants.",Can infer correct Value,['Winged fruit']
9,Crescentia cujete,inflorescences,Bert,PlantNet,"Inflorescence one or two cauliflorous flowers borne on larger branches or trunk, the pedicels lepidote, 1.5 cm long.",Can infer correct Entity,"['Flower isolated or in groups of 2 or 3', 'Fascicle of flowers or inflorescences']"
10,Carica papaya,flower color,Jacc,PlantNet,Flowers are cream to white yellow.,Can infer correct Value,"['White flower', 'Yellow coloured flower']"
11,Bridelia micrantha,leaf margin,Jacc,PlantNet,"The leaf tip is attenuate, and the base is broadly rounded.",Can infer correct Entity,"['Smooth leaf margin', 'Margin of the wavy leaf']"
12,Grewia bicolor,leaf shape,Bert,PlantNet,Leaves almost white beneath Provided by:.,Can infer correct Entity,['Simple leaf']
13,Flacourtia indica,leaf base,Jacc,PlantNet,"Disk lobulate, clasping the base of the ovoid ovary.",None of the above,"['Leaf base attenuated', 'Rounded leaf base']"
