Species,All Traits, , ,Without N/As,,,N/A Percentage
 ,Precision,Recall,F1-Score,Precision,Recall,F1-Score, 
Avicennia germinans,0.8506756756756757,0.7986878453038674,0.8217834078489816,0.8551587301587302,0.8551587301587302,0.8551587301587302,0.16666666666666666
Metopium brownei,0.948019801980198,0.5625,0.583695967507978,1.0,1.0,1.0,0.875
Handroanthus billbergii,0.7249599358974359,0.6292587476979742,0.6583580899934788,0.7371794871794872,0.753691983122363,0.7449681528662421,0.5
Bourreria succulenta,0.7876381215469613,0.7876381215469613,0.7876381215469613,0.798513986013986,0.8643314366998578,0.8265004395428754,0.20833333333333334
Bursera karsteniana,0.9436274509803921,0.5208333333333334,0.5101298701298701,1.0,1.0,1.0,0.9583333333333334
Bursera simaruba,0.7403446226975638,0.6862338858195212,0.7082039337474121,0.7520424836601307,0.7649205667668527,0.7582417582417583,0.2916666666666667
Bursera tomentosa,0.7168508287292817,0.7168508287292817,0.7168508287292817,0.7326086956521739,0.8262195121951219,0.7663865546218487,0.3333333333333333
Cynophalla flexuosa,0.7192737430167597,0.7349217311233885,0.7266666666666666,0.7248427672955975,0.7698896631823462,0.7440880047427705,0.125
Cynophalla hastata,0.645,0.5333793738489871,0.5361571182912481,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.7916666666666666
Quadrella odoratissima,0.593944099378882,0.5835635359116023,0.5881278538812785,0.593944099378882,0.6234693877551021,0.6035087719298246,0.375
Crossopetalum rhacoma,0.7000517598343685,0.6779465930018417,0.6879756468797565,0.7091097308488612,0.7387706855791962,0.7223600771987868,0.25
Maytenus versluysii,0.4405940594059406,0.49171270718232046,0.4647519582245431,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.875
Clusia rosea,0.6965195246179966,0.6598756906077348,0.6752423800773082,0.7139063254466441,0.7775689223057645,0.739094985731757,0.4166666666666667
Conocarpus erectus,0.7076719576719577,0.6445672191528545,0.6675675675675676,0.7193877551020409,0.7457142857142858,0.7313131313131314,0.4166666666666667
Laguncularia racemosa,0.7835314091680814,0.7306629834254144,0.7531842088587541,0.7914839181286549,0.7914839181286549,0.7914839181286549,0.20833333333333334
Erythroxylum havanense,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Croton niveus,0.8943527918781726,0.6430709023941068,0.6949404761904763,0.9258720930232558,0.9258720930232558,0.9258720930232558,0.6666666666666666
Hippomane mancinella,0.7523889154323937,0.7432090239410681,0.7476701248461404,0.7659420289855072,0.8426704014939308,0.7965447154471545,0.2916666666666667
Libidibia coriaria,0.7249599358974359,0.6292587476979742,0.6583580899934788,0.7442307692307693,0.761963696369637,0.752636815920398,0.5
Pithecellobium unguis-cati,0.7000517598343685,0.6779465930018417,0.6879756468797565,0.711068211068211,0.7650862068965517,0.7328253363495654,0.3333333333333333
Prosopis juliflora,0.6789297658862876,0.6724217311233885,0.6755758748021804,0.6896135265700483,0.7341536167039523,0.7080662615499875,0.25
Vachellia tortuosa,0.7248122653316647,0.6654005524861879,0.6883468834688347,0.7399534071054163,0.7829670329670331,0.7586152635719906,0.4166666666666667
Vitex compressa,0.7034161490683231,0.6960174953959484,0.6996072914835003,0.7182971014492754,0.808974358974359,0.7494736842105263,0.375
Vitex cymosa,0.7743673851921274,0.6347836095764272,0.6719999999999999,0.7918660287081339,0.7918660287081339,0.7918660287081339,0.5416666666666666
Trichilia trifolia,0.6794414735591205,0.6390423572744015,0.6551501035196687,0.6787439613526569,0.6968085106382979,0.6869070208728653,0.3333333333333333
Eugenia procera,0.9115384615384616,0.6847375690607735,0.7434292866082604,0.9419354838709677,0.9419354838709677,0.9419354838709677,0.5833333333333334
Guapira pacurero,0.5677860696517413,0.5125460405156538,0.5016828721017202,0.6,0.6818181818181819,0.6190476190476191,0.9166666666666666
Coccoloba swartzii,0.7265786749482401,0.7015423572744015,0.7129375951293759,0.736904761904762,0.7705905205905206,0.7520159463622362,0.25
Coccoloba uvifera,0.6290540540540541,0.6099217311233885,0.6181073025335322,0.6282710280373831,0.6467914438502673,0.63619379748412,0.2916666666666667
Krugiodendron ferreum,0.6460635359116023,0.6460635359116023,0.6460635359116023,0.65234375,0.6940298507462687,0.6684841875681571,0.25
Rhizophora mangle,0.8012477718360071,0.7334254143646408,0.7612577639751552,0.8102564102564103,0.8102564102564103,0.8102564102564103,0.25
Guettarda roupalifolia,0.7475,0.556975138121547,0.5732645488279482,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7916666666666666
Randia aculeata,0.6735248447204969,0.6543508287292817,0.6630136986301369,0.6812278630460449,0.7167058823529412,0.6961916987590928,0.2916666666666667
Amyris ignea,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Zanthoxylum monophyllum,0.7876381215469613,0.7876381215469613,0.7876381215469613,0.7944277108433735,0.8305156382079459,0.8109452736318408,0.125
Casearia tremula,0.7476252158894646,0.6320211786372008,0.6650326797385622,0.7666666666666666,0.787317620650954,0.7763975155279503,0.5416666666666666
Schoepfia schreberi,0.7098930481283423,0.6626381215469613,0.6816770186335405,0.7107843137254901,0.7210165619645916,0.7156794425087109,0.2916666666666667
Jacquinia arborea,0.7964912280701755,0.6945211786372008,0.730803787407561,0.8118279569892473,0.8305471124620061,0.8207634150839018,0.4166666666666667
Guaiacum officinale,0.7522222222222222,0.761279926335175,0.7566284131381085,0.7676033057851239,0.8691290469676243,0.8053333333333332,0.2916666666666667
Guaiacum sanctum,0.7908594138102335,0.7695672191528545,0.7796225513616818,0.8014032946918853,0.8421052631578947,0.8198687302487642,0.20833333333333334
