Trait,Presence Percentage
life form,0.9000000000000005
leaf position,0.6500000000000002
leaf composition,0.325
leaf shape,0.5500000000000002
leaf margin,0.6750000000000003
leaf upper side,0.5750000000000002
leaf lower side,0.4500000000000001
leaf glands,0.4000000000000001
leaf rachis,0.5750000000000002
thorns spines,0.7500000000000003
stipules,0.22499999999999998
inflorescence type,0.27499999999999997
sepals calyx shape,0.4250000000000001
sepals calyx numer,0.5750000000000002
petals corolla shape,0.47500000000000014
petals corolla number,0.5500000000000002
petals corolla colour,0.5250000000000001
stamen shape,0.24999999999999997
stamen number,0.4500000000000001
fruit type,0.7250000000000003
fruit shape,0.6250000000000002
fruit colour,0.5250000000000001
aril colour,0.8750000000000004
seed colour,0.8500000000000004
