 ,life form,life form,leaf position,leaf position,leaf position,leaf position,leaf position,leaf composition,leaf composition,leaf composition,leaf composition,leaf composition,leaf composition,leaf composition,leaf composition,leaf composition,leaf composition,leaf composition,leaf composition,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf shape,leaf margin,leaf margin,leaf margin,leaf margin,leaf margin,leaf upper side,leaf upper side,leaf upper side,leaf upper side,leaf upper side,leaf upper side,leaf upper side,leaf upper side,leaf lower side,leaf lower side,leaf lower side,leaf lower side,leaf lower side,leaf lower side,leaf glands,leaf glands,leaf glands,leaf glands,leaf glands,leaf glands,leaf rachis,leaf rachis,leaf rachis,thorns spines,thorns spines,thorns spines,thorns spines,thorns spines,stipules,stipules,stipules,inflorescence type,inflorescence type,inflorescence type,inflorescence type,inflorescence type,inflorescence type,inflorescence type,inflorescence type,inflorescence type,inflorescence type,inflorescence type,sepals calyx shape,sepals calyx shape,sepals calyx numer,sepals calyx numer,sepals calyx numer,sepals calyx numer,sepals calyx numer,sepals calyx numer,sepals calyx numer,sepals calyx numer,sepals calyx numer,petals corolla shape,petals corolla shape,petals corolla shape,petals corolla shape,petals corolla number,petals corolla number,petals corolla number,petals corolla number,petals corolla number,petals corolla number,petals corolla number,petals corolla number,petals corolla number,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,petals corolla colour,stamen shape,stamen shape,stamen shape,stamen shape,stamen shape,stamen shape,stamen number,stamen number,stamen number,stamen number,stamen number,stamen number,stamen number,stamen number,stamen number,stamen number,stamen number,stamen number,stamen number,fruit type,fruit type,fruit type,fruit type,fruit type,fruit type,fruit type,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit shape,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,fruit colour,aril colour,aril colour,aril colour,aril colour,aril colour,seed colour,seed colour,seed colour,seed colour,seed colour,seed colour,seed colour
 ,liana,tree,alternate,"alternate, opposite",opposite,"opposite, whorls of 3","opposite, whorls of 3, alternate",3 palmate,3-5 palmate,3-5 pinnate,"3-5 pinnate, entire",5-11 pinnate,5-9 pinnate,"bi-pinnate, 2 leaflets per jug","bi-pinnate, 20-40 leaflets per jug","bi-pinnate, 30-32 leaflets per jug",entire,"pinnate, 4-6 leaflets","pinnate, 6-8 leaflets",elliptic,"elliptic, elongate","elliptic, lanceolate","elliptic, obovate","elliptic, ovate","elliptic, ovate, round",elongate,"elongate, elliptic, obovate","elongate, obovate","kidney-shaped, circular","lanceolate, elliptic",linear,"linear, obovate",obovate,"obovate, elliptic","obovate, spathulate",ovate,"ovate, circular","ovate, elliptic","ovate, elliptic, elongate","ovate, heart-shaped","spathulate, obovate",crenate,entire,"entire, crenate","entire, serrate",serrate,glabrous,"glabrous, pubescent",pubescent,"pubescent, glabrous",salt crystals,"scales, glabrous","shiny, glabrous","woolly, later glabrous",glabrous,"glabrous, pubescent",powdery,pubescent,scales,"woolly, later glabrous",absent,gland on the end of petiole,glands near basis and central vein,glands near basis and leaf margin,translucent oil cells,translucent points and lines,not applicable,not winged,winged,1-2 per leaf axil,2 per leaf axil,absent,branch thorns,thorns on stem,absent,connected,present,1-3 sessile,1-5 sessile,dichasium,fascicle,globose,globose in panicle,panicle,raceme,"solitary, fascicle",spike,umbel,connate,free,2-3,3-5,4,4-5,4-6,5,5-6,6-8,6-9,absent,free,tepals,tubular,0,3-5,4,4-5,4-6,5,"5, 0",5-6,6-8,not applicable,blue,green,"green, red","green-white, yellow-white",greenish white,red,white,"white, pink","white, pink, purple","white, whitish","white, yellow-white",whitish,yellow,"yellow, orange","yellow, yellow-green",yellow-green,"yellow-green, green",longer than corolla,much longer than corolla,multiple rows,short,shorter than corolla,"shorter than corolla, connected",10,15-25,16,2,20,20-28,4,5,5-6,6-10,6-9,8,many,berry,capsule,drupe,fleshy drupe,follicle,nutlet,pod,"2-locular, flattened, globose","3-5-locular, globose",elongate,"elongate, constricted between seeds","elongate, slightly constricted between seeds","elongate, strongly constricted between seeds",flattened obovoid,flattened ovate,"flattened, elongate, twisted","flattened, thick, elongate, strongly curved",globose,"globose, 3-angulated",linear,"not flattened, elongate, slightly curved",ovoid,"pyriform, ovoid","slightly flattened, elongate, curved",black,brown,brown-black,green,"green, black, whitish","green, orange","green, orange, red","green, red","green, yellow",greyish,orange,"orange, yellow, red","purple, black",red,"red, black","red, purple-brown",reddish purple,whitish green,"yellow, orange",yellowish,not applicable,orange,red,white,yellow-geen,not applicable,black,brown,green,grey,white,whitish
Species
Avicennia germinans,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Metopium brownei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Handroanthus billbergii,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Bourreria succulenta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Bursera karsteniana,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bursera simaruba,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Bursera tomentosa,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Cynophalla flexuosa,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
