Species,All Traits, , ,Without N/As,,,N/A Percentage
 ,Precision,Recall,F1-Score,Precision,Recall,F1-Score, 
Actinokentia divaricata,0.7457142857142858,0.7193877551020409,0.7313131313131314,0.7740863787375415,0.8666666666666667,0.8106060606060606,0.5
Aiphanes minima,0.6180851063829788,0.6813725490196079,0.6364795918367346,0.6383720930232558,0.8035714285714286,0.670807453416149,0.3333333333333333
Archontophoenix alexandrae,0.9722222222222222,0.75,0.819047619047619,1.0,1.0,1.0,0.5
Archontophoenix maxima,0.7122641509433962,0.6470588235294118,0.6711538461538462,0.75,0.975609756097561,0.8208333333333333,0.6666666666666666
Archontophoenix myolensis,0.7122641509433962,0.6470588235294118,0.6711538461538462,0.7391304347826086,0.8120567375886525,0.7695852534562213,0.5
Archontophoenix purpurea,0.7615384615384615,0.6942857142857143,0.7205882352941176,0.7722222222222221,0.8223684210526316,0.7927927927927927,0.3333333333333333
Archontophoenix tuckeri,0.8807692307692307,0.8235294117647058,0.849073256840247,0.9,0.9895833333333333,0.9391812865497077,0.3333333333333333
Areca catechu,0.7055555555555555,0.7361702127659575,0.7183794466403162,0.725,0.8068181818181819,0.7523809523809524,0.3333333333333333
Areca laosensis,0.5928571428571429,0.5928571428571429,0.5928571428571429,0.6095238095238096,0.6468085106382979,0.6231884057971014,0.3333333333333333
Arenga australasica,0.6842857142857143,0.7107843137254901,0.6961157654226962,0.7142857142857143,0.9574468085106382,0.7777777777777778,0.5
Astrocaryum aculeatum,0.6078431372549019,0.5841836734693877,0.5928571428571429,0.6396396396396397,0.6987179487179487,0.6605263157894737,0.6666666666666666
Astrocaryum huaimi,0.625,0.6542857142857142,0.6364795918367347,0.6544715447154471,0.8097826086956521,0.6905393457117595,0.5
Astrocaryum jauari,0.7941176470588235,0.7295918367346939,0.7557142857142858,0.821969696969697,0.8777777777777778,0.8467824310520939,0.5
Astrocaryum javarense,0.6028571428571429,0.6176470588235294,0.6092916984006093,0.6312292358803986,0.7801418439716312,0.6666666666666666,0.5
Astrocaryum murumuru,0.4166666666666667,0.46875,0.4411764705882353,0.43617021276595747,0.4659090909090909,0.4505494505494506,0.5
Astrocaryum sciophilum,0.4375,0.4117647058823529,0.42424242424242425,0.4594594594594595,0.3953488372093023,0.425,0.5
Astrocaryum vulgare,0.6364795918367347,0.6364795918367347,0.6364795918367347,0.6636904761904762,0.7444444444444445,0.6905393457117595,0.5
Attalea butyracea,0.841897233201581,0.8680851063829788,0.8540706605222734,0.8636363636363636,0.9659090909090908,0.903405572755418,0.3333333333333333
Attalea dahlgreniana,0.4444444444444444,0.47058823529411764,0.45714285714285713,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5
Attalea geraensis,0.611111111111111,0.5514285714285714,0.5615384615384615,0.5833333333333334,0.6071428571428572,0.5846153846153845,0.6666666666666666
Attalea maripa,0.6742857142857143,0.6742857142857143,0.6742857142857143,0.7011278195488722,0.8262195121951219,0.7410817031070196,0.5
Attalea oleifera,0.7045454545454546,0.5735294117647058,0.5966981132075472,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6666666666666666
Attalea phalerata,0.5147058823529412,0.5114795918367347,0.5114285714285713,0.5289855072463768,0.5289855072463768,0.5289855072463768,0.3333333333333333
Attalea tessmannii,0.7962962962962963,0.6568627450980392,0.6984126984126984,0.7708333333333333,0.7708333333333333,0.7708333333333333,0.5
Bactris dianeura,0.5854700854700854,0.696078431372549,0.5777777777777778,0.6111111111111112,0.8409090909090908,0.5872235872235873,0.3333333333333333
Bactris gracilior,0.5926470588235294,0.7058823529411764,0.5914954610606785,0.6176470588235294,0.8645833333333333,0.6121629374641423,0.3333333333333333
Bactris grayumii,0.6354166666666666,0.6911764705882353,0.6545454545454545,0.6666666666666666,0.9302325581395349,0.7124999999999999,0.5
