Species,All Traits, , ,Without N/As,,,N/A Percentage
 ,Precision,Recall,F1-Score,Precision,Recall,F1-Score, 
Acacia amythethophylla,0.7428480610298792,0.6123529411764705,0.6258785019736208,0.7643356643356642,0.71,0.7284178187403993,0.4782608695652174
Acacia ataxacantha,0.7674710910005028,0.6629901960784313,0.6878203336128972,0.7754763877381938,0.7224080267558528,0.7411764705882353,0.34782608695652173
Acacia dudgeoni,0.5837209302325581,0.5165441176470589,0.4826254826254826,0.6310344827586207,0.6130952380952381,0.620414673046252,0.782608695652174
Acacia ehrenbergiana,0.6458333333333333,0.5750612745098039,0.5801018409714062,0.6612903225806452,0.6340996168582376,0.64375,0.391304347826087
Acacia erythrocalyx,0.593452380952381,0.5453102453102453,0.5379740937470879,0.611111111111111,0.5889292196007259,0.5950413223140496,0.391304347826087
Acacia gerrardii,0.7717445952740071,0.6692765424365801,0.6954545454545454,0.8029411764705883,0.7909604519774012,0.7966386554621848,0.43478260869565216
Acacia gourmaensis,0.7792145593869731,0.6786151960784313,0.704954128440367,0.8031400966183575,0.7716450216450217,0.7851851851851852,0.34782608695652173
Acacia hockii,0.7193486590038314,0.6434387723144379,0.662845960301929,0.7373737373737375,0.7203125,0.7279352226720648,0.34782608695652173
Acacia holosericea,0.7717445952740071,0.6692765424365801,0.6954545454545454,0.7988871224165341,0.7647887323943662,0.7794967381174278,0.34782608695652173
Acacia kirkii,0.7172619047619048,0.6073529411764705,0.6193181818181818,0.7352216748768473,0.6896722939424031,0.7051597051597052,0.43478260869565216
Acacia laeta,0.7700280112044817,0.6417647058823529,0.662845960301929,0.8289308176100629,0.8289308176100629,0.8289308176100629,0.4782608695652174
Acacia macrostachya,0.6384615384615384,0.5225493266520513,0.4906192519926426,0.6458333333333333,0.5952380952380952,0.604040404040404,0.8260869565217391
Acacia mellifera,0.6828947368421052,0.6277573529411764,0.642094017094017,0.6916666666666667,0.6796875,0.684981684981685,0.30434782608695654
Acacia nilotica,0.7166666666666667,0.6547134356404636,0.6730821360802386,0.7320987654320987,0.70958751393534,0.7193213397689044,0.2608695652173913
Acacia polyacantha ssp. campylacantha,0.7337858220211162,0.6424632352941176,0.662845960301929,0.7568627450980392,0.7377495462794919,0.7462335216572507,0.391304347826087
Acacia senegal,0.7516233766233766,0.6789321789321789,0.6991768520828137,0.7596590909090909,0.7205598455598455,0.7350649350649351,0.21739130434782608
Acacia seyal,0.7492625368731562,0.6774677467746775,0.6985115957078574,0.7699530516431925,0.7536231884057971,0.7610389610389611,0.30434782608695654
Acacia sieberiana,0.8033613445378152,0.6562770562770563,0.6803669724770642,0.827536231884058,0.748533724340176,0.7747060037136373,0.391304347826087
Acacia tortilis ssp. Raddiana,0.7718253968253967,0.5839460784313726,0.5885964912280701,0.8455882352941176,0.8455882352941176,0.8455882352941176,0.6521739130434783
Adansonia digitata,0.7779761904761905,0.6533661740558292,0.6814470284237727,0.8174603174603174,0.8010752688172043,0.8088275862068965,0.43478260869565216
Adenium obesum,0.774904214559387,0.6722172217221722,0.697298274148369,0.7978199718706047,0.7488249118683901,0.7680535628885701,0.30434782608695654
Aeschynomene elaphroxylon,0.710727969348659,0.6320132013201321,0.6488659980121081,0.7314814814814815,0.6930778032036613,0.7077831287867018,0.30434782608695654
